Group;Participant;CollabEnvironememn;trialNb;training;MoveMode;wall;CardToTag;
g01;ope;C;0;1;drag;none;B;22;
g01;p01;C;0;1;drag;move;B;22;
g01;p02;C;0;1;drag;search;B;22;
g01;ope;C;1;1;drag;none;B;37;
g01;p01;C;1;1;drag;search;B;37;
g01;p02;C;1;1;drag;move;B;37;
g01;ope;C;2;1;drag;none;L;11;
g01;p01;C;2;1;drag;move;L;11;
g01;p02;C;2;1;drag;search;L;11;
g01;ope;C;3;1;drag;none;L;8;
g01;p01;C;3;1;drag;search;L;8;
g01;p02;C;3;1;drag;move;L;8;
g01;ope;C;4;1;drag;none;R;47;
g01;p01;C;4;1;drag;move;R;47;
g01;p02;C;4;1;drag;search;R;47;
g01;ope;C;5;1;drag;none;R;51;
g01;p01;C;5;1;drag;search;R;51;
g01;p02;C;5;1;drag;move;R;51;
g01;ope;C;6;0;drag;none;B;34;
g01;p01;C;6;0;drag;move;B;34;
g01;p02;C;6;0;drag;search;B;34;
g01;ope;C;7;0;drag;none;B;29;
g01;p01;C;7;0;drag;search;B;29;
g01;p02;C;7;0;drag;move;B;29;
g01;ope;C;8;0;drag;none;R;59;
g01;p01;C;8;0;drag;move;R;59;
g01;p02;C;8;0;drag;search;R;59;
g01;ope;C;9;0;drag;none;R;43;
g01;p01;C;9;0;drag;search;R;43;
g01;p02;C;9;0;drag;move;R;43;
g01;ope;C;10;0;drag;none;L;6;
g01;p01;C;10;0;drag;move;L;6;
g01;p02;C;10;0;drag;search;L;6;
g01;ope;C;11;0;drag;none;L;10;
g01;p01;C;11;0;drag;search;L;10;
g01;p02;C;11;0;drag;move;L;10;
g01;ope;C;12;0;drag;none;B;31;
g01;p01;C;12;0;drag;move;B;31;
g01;p02;C;12;0;drag;search;B;31;
g01;ope;C;13;0;drag;none;B;25;
g01;p01;C;13;0;drag;search;B;25;
g01;p02;C;13;0;drag;move;B;25;
g01;ope;C;14;0;drag;none;L;14;
g01;p01;C;14;0;drag;move;L;14;
g01;p02;C;14;0;drag;search;L;14;
g01;ope;C;15;0;drag;none;L;19;
g01;p01;C;15;0;drag;search;L;19;
g01;p02;C;15;0;drag;move;L;19;
g01;ope;C;16;0;drag;none;R;43;
g01;p01;C;16;0;drag;search;R;43;
g01;p02;C;16;0;drag;move;R;43;
g01;ope;C;17;0;drag;none;R;59;
g01;p01;C;17;0;drag;move;R;59;
g01;p02;C;17;0;drag;search;R;59;
g01;ope;C;18;0;drag;none;B;29;
g01;p01;C;18;0;drag;search;B;29;
g01;p02;C;18;0;drag;move;B;29;
g01;ope;C;19;0;drag;none;B;34;
g01;p01;C;19;0;drag;move;B;34;
g01;p02;C;19;0;drag;search;B;34;
