Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g04;p01;C;0;1;drag;move;B;22;2;1;1;5.780911;0;0;22.92682;3.953735
g04;p01;C;1;1;drag;search;B;37;0;0;0;3.33329;0;169;9.006409;0
g04;p01;C;2;1;drag;move;L;11;9;5;0;12.16758;0;3.730469;20.54382;5.175598
g04;p01;C;3;1;drag;search;L;8;0;0;0;5.021887;0;395.5;7.185913;0
g04;p01;C;4;1;drag;move;R;47;3;2;1;8.845345;3;166.4159;15.78107;2.156128
g04;p01;C;5;1;drag;search;R;51;0;0;0;3.967299;0;92.5;5.3974;0
g04;p01;C;6;0;drag;move;B;34;1;0;1;3.823885;3;141.4228;9.266357;1.188232
g04;p01;C;7;0;drag;search;B;29;0;0;0;2.354707;0;84;5.497375;0
g04;p01;C;8;0;drag;move;R;59;1;0;1;6.736591;4;153.9032;12.98798;1.166565
g04;p01;C;9;0;drag;search;R;43;0;0;0;6.995909;0;56.5;3.37677;0
g04;p01;C;10;0;drag;move;L;6;1;0;1;6.309057;0;0;7.867737;1.188232
g04;p01;C;11;0;drag;search;L;10;0;0;0;4.212229;0;117.5;7.585266;0
g04;p01;C;12;0;drag;move;B;31;1;0;1;5.973495;2;86.39492;10.96783;1.043579
g04;p01;C;13;0;drag;search;B;25;0;0;0;3.063146;0;71;3.575989;0
g04;p01;C;14;0;drag;move;L;14;4;2;1;6.325087;4;176.2369;17.79822;2.487854
g04;p01;C;15;0;drag;search;L;19;0;0;0;3.300639;0;75.5;7.2854;0
g04;p01;C;16;0;drag;search;R;43;0;0;0;8.560611;0;132;11.08392;0
g04;p01;C;17;0;drag;move;R;59;3;0;1;4.229293;1;38.26369;5.322693;1.67688
g04;p01;C;18;0;drag;search;B;29;0;0;0;6.478839;0;49;4.997559;0
g04;p01;C;19;0;drag;move;B;34;4;3;0;4.758023;0;0;6.658264;2.385498
g04;p01;C;20;0;drag;search;R;51;0;0;0;4.936562;0;92.5;8.440552;0
g04;p01;C;21;0;drag;move;R;47;3;1;2;4.063767;0;0;5.272522;1.954712
g04;p01;C;22;0;drag;search;L;8;0;0;0;13.42963;0;171;8.462891;0
g04;p01;C;23;0;drag;move;L;11;1;1;0;4.273695;3;104.176;6.452942;0.5883179
g04;p01;C;24;0;drag;search;B;37;0;0;0;11.16145;0;137.5;7.307861;0
g04;p01;C;25;0;drag;move;B;22;3;3;0;3.908121;0;0;4.279663;1.566284
#pause;
g04;p01;C;26;1;joy;move;R;40;4;0;0;4.627526;6;50.16552;8.248535;2.709229
g04;p01;C;27;1;joy;search;R;56;0;0;0;6.440756;0;557.5;6.164063;0
g04;p01;C;28;1;joy;move;B;24;5;0;0;6.024085;7;50.90916;11.12097;4.773804
g04;p01;C;29;1;joy;search;B;39;0;0;0;6.41044;0;114.5;5.665649;0
g04;p01;C;30;1;joy;move;L;2;5;0;0;8.170157;6;100.427;7.134766;2.740356
g04;p01;C;31;1;joy;search;L;17;0;0;0;4.732649;0;84.5;5.02832;0
g04;p01;C;32;0;joy;move;R;54;4;0;0;6.680863;7;135.6695;9.59314;2.911255
g04;p01;C;33;0;joy;search;R;49;0;0;0;3.959356;0;95;4.440186;0
g04;p01;C;34;0;joy;move;B;26;3;0;0;7.465162;4;78.2259;8.728271;2.606445
g04;p01;C;35;0;joy;search;B;32;0;0;0;7.071023;0;91;5.29126;0
g04;p01;C;36;0;joy;move;L;4;2;0;0;4.607266;3;98.6303;5.309082;1.4729
g04;p01;C;37;0;joy;search;L;0;0;0;0;5.184886;0;114;6.195679;0
g04;p01;C;38;0;joy;move;R;58;8;0;0;6.460227;9;157.7007;8.367798;3.151367
g04;p01;C;39;0;joy;search;R;42;0;0;0;6.116988;0;144.5;7.728027;0
g04;p01;C;40;0;joy;move;L;15;2;0;0;7.328045;6;79.37547;6.048584;2.199707
g04;p01;C;41;0;joy;search;L;1;0;0;0;2.77005;0;79;6.351074;0
g04;p01;C;42;0;joy;search;B;32;0;0;0;15.29792;0;308.5;14.58032;0
g04;p01;C;43;0;joy;move;B;26;6;0;0;6.3294;11;36.96709;5.294556;2.334351
g04;p01;C;44;0;joy;search;R;49;0;0;0;7.14338;0;280.5;8.306274;0
g04;p01;C;45;0;joy;move;R;54;3;0;0;3.057406;3;0;6.267212;3.662109
g04;p01;C;46;0;joy;search;L;17;0;0;0;6.150577;0;170.5;7.251587;0
g04;p01;C;47;0;joy;move;L;2;3;0;0;3.466384;4;85.80651;7.947998;2.018188
g04;p01;C;48;0;joy;search;B;39;0;0;0;10.76657;0;247.5;7.758423;0
g04;p01;C;49;0;joy;move;B;24;3;0;0;3.3829;4;6.994813;4.551514;1.363403
g04;p01;C;50;0;joy;search;R;56;0;0;0;5.533927;0;435.5;5.555054;0
g04;p01;C;51;0;joy;move;R;40;2;0;0;4.129504;2;7.976689;4.549927;1.321045
#pause;
g04;p01;C;52;1;TP;move;B;23;1;1;0;2.948985;2;180;9.148804;0.5106201
g04;p01;C;53;1;TP;search;B;38;0;0;0;5.160316;0;0;7.774292;0.5117188
g04;p01;C;54;1;TP;move;R;45;1;0;0;2.423629;1;90;10.82678;0.5109863
g04;p01;C;55;1;TP;search;R;50;0;0;0;2.232449;0;0;6.952515;0.5148926
g04;p01;C;56;1;TP;move;L;12;1;0;0;8.608395;2;180;9.752563;0.510498
g04;p01;C;57;1;TP;search;L;9;0;0;0;6.725419;0;0;6.352539;0.5164795
g04;p01;C;58;0;TP;move;B;36;1;1;0;3.580973;1;90;13.69702;0.5106201
g04;p01;C;59;0;TP;search;B;30;0;0;0;3.044899;0;0;7.3302;0.5157471
g04;p01;C;60;0;TP;move;R;53;1;1;0;5.83178;1;90;9.016968;0.510498
g04;p01;C;61;0;TP;search;R;57;0;0;0;4.336078;0;0;5.853027;0.513916
g04;p01;C;62;0;TP;move;L;13;1;1;0;6.025891;2;180;10.67383;0.5107422
g04;p01;C;63;0;TP;search;L;7;0;0;0;4.41421;0;0;7.130371;0.5144043
g04;p01;C;64;0;TP;move;B;33;1;1;0;1.267636;1;90;7.930664;0.5107422
g04;p01;C;65;0;TP;search;B;28;0;0;0;5.228506;0;0;4.331299;0.5065918
g04;p01;C;66;0;TP;move;R;48;1;1;0;4.884995;1;90;10.0769;0.5109863
g04;p01;C;67;0;TP;search;R;52;0;0;0;3.296724;0;0;5.342041;0.5185547
g04;p01;C;68;0;TP;search;R;57;0;0;0;3.795332;0;0;9.251221;0.5117188
