Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g01;p01;C;0;1;drag;move;L;12;3;2;5.066075;3;173.8107;9.562386;1.865788
g01;p01;C;1;1;drag;search;B;28;0;0;8.146365;0;196.5;11.42478;0
g01;p01;C;2;1;drag;move;R;57;2;1;4.827645;4;298.9638;12.42764;1.821487
g01;p01;C;3;1;drag;search;L;2;0;0;6.593898;0;198.5;8.357422;0
#pause;
g01;p01;C;4;1;TP;move;B;20;1;0;4.626329;3;270;8.540604;0.5107269
g01;p01;C;5;1;TP;search;L;15;0;0;16.2833;3;270;18.25903;1.547958
g01;p01;C;6;1;TP;move;B;37;1;0;6.544849;1;90;8.462982;0.5110016
g01;p01;C;7;1;TP;search;R;50;0;0;9.440573;1;90;7.603683;1.023132
#pause;
g01;p01;C;8;1;joy;move;B;36;7;0;1.787817;6;161.144;9.218079;1.514114
g01;p01;C;9;1;joy;search;L;9;0;0;8.286788;0;285;7.023285;0
g01;p01;C;10;1;joy;move;B;22;13;0;21.72281;10;193.7079;19.84645;7.820618
g01;p01;C;11;1;joy;search;R;47;0;0;10.11693;0;1073;30.97278;0
#pause;
