Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;Task;Wall;CardToTag;nbMove;nbMoveWall;nbDragWallFloor;distTotal;nbRotate;rotateTotal;trialTime;moveTime
g02;p01;C;0;1;TP;move;B;22;1;0;0;3.981878;0;0;15.30225;0.5107956
g02;p01;C;1;1;TP;search;B;37;0;0;0;6.105322;1;90;26.26532;1.023621
g02;p01;C;2;1;TP;move;L;11;1;1;0;8.455878;0;0;8.815414;0.51091
g02;p01;C;3;1;TP;search;R;51;0;0;0;7.619639;1;90;10.85023;0.510788
g02;p01;C;4;1;TP;move;R;47;1;1;0;3.728694;0;0;6.06041;0.5111237
g02;p01;C;5;1;TP;search;L;8;0;0;0;8.679544;1;90;14.00484;1.034561
g02;p01;C;6;0;TP;move;B;34;3;2;0;9.044121;0;0;18.32883;1.532501
g02;p01;C;7;0;TP;search;B;29;0;0;0;5.202752;0;0;8.695648;0.5029297
g02;p01;C;8;0;TP;move;R;59;3;1;0;11.2961;0;0;13.1152;1.532791
g02;p01;C;9;0;TP;search;R;43;0;0;0;3.139724;0;0;7.030273;0.5007324
g02;p01;C;10;0;TP;move;L;6;1;1;0;6.19291;0;0;10.23781;0.5109558
g02;p01;C;11;0;TP;search;L;10;0;0;0;4.395754;0;0;7.696472;0.5111389
g02;p01;C;12;0;TP;move;B;31;3;2;0;8.621874;0;0;9.836945;1.532715
g02;p01;C;13;0;TP;search;B;25;0;0;0;6.556515;0;0;9.084442;1.023468
g02;p01;C;14;0;TP;move;L;14;2;1;0;7.592854;0;0;9.247375;1.021332
g02;p01;C;15;0;TP;search;L;19;0;0;0;5.862859;1;90;9.839783;1.041748
g02;p01;C;16;0;TP;search;B;34;0;0;0;5.662418;1;90;63.1929;1.026245
g02;p01;C;17;0;TP;move;B;29;1;1;0;4.974914;0;0;4.819122;0.5003967
g02;p01;C;18;0;TP;search;R;59;0;0;0;7.250765;1;90;13.39343;0.5119324
g02;p01;C;19;0;TP;move;R;43;2;1;0;7.091576;0;0;7.306488;1.010895
g02;p01;C;20;0;TP;search;L;6;0;0;0;7.198483;1;90;12.15018;1.013184
g02;p01;C;21;0;TP;move;L;10;2;1;0;8.3678;0;0;5.684906;1.011475
g02;p01;C;22;0;TP;search;B;31;0;0;0;7.244133;1;90;8.129608;0.5035095
g02;p01;C;23;0;TP;move;B;25;1;1;0;1.491895;0;0;5.165039;0.5108643
g02;p01;C;24;0;TP;search;L;14;0;0;0;3.639264;1;90;9.906097;0.5157776
g02;p01;C;25;0;TP;move;L;19;1;1;0;2.353329;0;0;5.967163;0.5112305
#pause;
g02;p01;C;26;1;drag;move;R;40;1;0;1;4.609414;4;266.5112;18.02997;2.882813
g02;p01;C;27;1;drag;search;R;56;0;0;0;52.28456;0;1157;64.15979;0
