Group;Participant;CollabEnvironememnt;trialNb;training;MoveMode;CardToTag;nbMove;distTotal;nbRotate;rotateTotal;trialTime;moveTime;
g01;p01;C;0;1;drag;12;7;172;0;84;10.38417;1061.203;
g01;p01;C;1;1;sync;28;0;548;0;548;12.14217;0;
g01;p01;C;2;1;drag;40;4;77;0;76;5.208969;748.7377;
g01;p01;C;3;1;sync;2;0;569;0;569;13.45238;0;
#pause;
g01;p01;C;4;1;TP;20;2;2;0;4;9.429123;1.010559;
g01;p01;C;5;1;sync;15;0;2;0;6;12.52228;1.024292;
g01;p01;C;6;1;TP;0;2;2;0;1;7.319244;1.012054;
g01;p01;C;7;1;sync;50;0;2;0;4;10.33081;1.021301;
#pause;
g01;p01;C;8;1;joy;36;3;356;7;248;6.45282;3.799072;
g01;p01;C;9;1;sync;9;0;1153;0;1153;10.0217;0;
g01;p01;C;10;1;joy;22;3;329;6;280;6.430725;14.38214;
g01;p01;C;11;1;sync;47;0;1543;0;1543;12.12292;0;
#pause;
